,Execution Date,Signal Date,Portfolio,Ticker,Target Weight,Training Observations
793,2025-08-01,2025-07-31,Risk Parity,SUNPHARMA.NS,0.13227516149879517,756
794,2025-08-01,2025-07-31,Risk Parity,POWERGRID.NS,0.0832561513973309,756
795,2025-08-01,2025-07-31,Risk Parity,BHARTIARTL.NS,0.10481570298823574,756
796,2025-08-01,2025-07-31,Risk Parity,LT.NS,0.08303875927239456,756
797,2025-08-01,2025-07-31,Risk Parity,M&M.NS,0.07323682438450412,756
798,2025-08-01,2025-07-31,Risk Parity,BEL.NS,0.06421738252554965,756
799,2025-08-01,2025-07-31,Risk Parity,TRENT.NS,0.0675350347819679,756
800,2025-09-01,2025-08-29,Current Equal Weight,HDFCBANK.NS,0.1,756
801,2025-09-01,2025-08-29,Current Equal Weight,TCS.NS,0.1,756
802,2025-09-01,2025-08-29,Current Equal Weight,HINDUNILVR.NS,0.1,756
803,2025-09-01,2025-08-29,Current Equal Weight,SUNPHARMA.NS,0.1,756
804,2025-09-01,2025-08-29,Current Equal Weight,POWERGRID.NS,0.1,756
805,2025-09-01,2025-08-29,Current Equal Weight,BHARTIARTL.NS,0.1,756
806,2025-09-01,2025-08-29,Current Equal Weight,LT.NS,0.1,756
807,2025-09-01,2025-08-29,Current Equal Weight,M&M.NS,0.1,756
808,2025-09-01,2025-08-29,Current Equal Weight,BEL.NS,0.1,756
809,2025-09-01,2025-08-29,Current Equal Weight,TRENT.NS,0.1,756
810,2025-09-01,2025-08-29,Minimum Volatility,HDFCBANK.NS,0.19000786675205295,756
811,2025-09-01,2025-08-29,Minimum Volatility,TCS.NS,0.17451938111887866,756
812,2025-09-01,2025-08-29,Minimum Volatility,HINDUNILVR.NS,0.20000000000000004,756
813,2025-09-01,2025-08-29,Minimum Volatility,SUNPHARMA.NS,0.20000000000000004,756
814,2025-09-01,2025-08-29,Minimum Volatility,POWERGRID.NS,0.06008525258600062,756
815,2025-09-01,2025-08-29,Minimum Volatility,BHARTIARTL.NS,0.11818817501101121,756
816,2025-09-01,2025-08-29,Minimum Volatility,LT.NS,0.03939995691992588,756
817,2025-09-01,2025-08-29,Minimum Volatility,M&M.NS,0.0,756
818,2025-09-01,2025-08-29,Minimum Volatility,BEL.NS,0.0047791149349470366,756
819,2025-09-01,2025-08-29,Minimum Volatility,TRENT.NS,0.013020252677183776,756
820,2025-09-01,2025-08-29,Maximum Sharpe,HDFCBANK.NS,0.08085380728650177,756
821,2025-09-01,2025-08-29,Maximum Sharpe,TCS.NS,0.0,756
822,2025-09-01,2025-08-29,Maximum Sharpe,HINDUNILVR.NS,0.12414763022447552,756
823,2025-09-01,2025-08-29,Maximum Sharpe,SUNPHARMA.NS,0.20000000000000004,756
824,2025-09-01,2025-08-29,Maximum Sharpe,POWERGRID.NS,0.02567380702300016,756
825,2025-09-01,2025-08-29,Maximum Sharpe,BHARTIARTL.NS,0.20000000000000004,756
826,2025-09-01,2025-08-29,Maximum Sharpe,LT.NS,0.0685394188330643,756
827,2025-09-01,2025-08-29,Maximum Sharpe,M&M.NS,0.0627627100849101,756
828,2025-09-01,2025-08-29,Maximum Sharpe,BEL.NS,0.1222290535946505,756
829,2025-09-01,2025-08-29,Maximum Sharpe,TRENT.NS,0.1157935729533976,756
830,2025-09-01,2025-08-29,Risk Parity,HDFCBANK.NS,0.11592991409409274,756
831,2025-09-01,2025-08-29,Risk Parity,TCS.NS,0.12323339296358486,756
832,2025-09-01,2025-08-29,Risk Parity,HINDUNILVR.NS,0.15412358502796336,756
833,2025-09-01,2025-08-29,Risk Parity,SUNPHARMA.NS,0.13140388632664393,756
834,2025-09-01,2025-08-29,Risk Parity,POWERGRID.NS,0.08244291146955246,756
835,2025-09-01,2025-08-29,Risk Parity,BHARTIARTL.NS,0.10421348207854082,756
836,2025-09-01,2025-08-29,Risk Parity,LT.NS,0.08372914966718355,756
837,2025-09-01,2025-08-29,Risk Parity,M&M.NS,0.07263010062245516,756
838,2025-09-01,2025-08-29,Risk Parity,BEL.NS,0.06483850300304722,756
839,2025-09-01,2025-08-29,Risk Parity,TRENT.NS,0.06745507474693599,756
840,2025-10-01,2025-09-30,Current Equal Weight,HDFCBANK.NS,0.1,756
841,2025-10-01,2025-09-30,Current Equal Weight,TCS.NS,0.1,756
842,2025-10-01,2025-09-30,Current Equal Weight,HINDUNILVR.NS,0.1,756
843,2025-10-01,2025-09-30,Current Equal Weight,SUNPHARMA.NS,0.1,756
844,2025-10-01,2025-09-30,Current Equal Weight,POWERGRID.NS,0.1,756
845,2025-10-01,2025-09-30,Current Equal Weight,BHARTIARTL.NS,0.1,756
846,2025-10-01,2025-09-30,Current Equal Weight,LT.NS,0.1,756
847,2025-10-01,2025-09-30,Current Equal Weight,M&M.NS,0.1,756
848,2025-10-01,2025-09-30,Current Equal Weight,BEL.NS,0.1,756
849,2025-10-01,2025-09-30,Current Equal Weight,TRENT.NS,0.1,756
850,2025-10-01,2025-09-30,Minimum Volatility,HDFCBANK.NS,0.19698659463923573,756
851,2025-10-01,2025-09-30,Minimum Volatility,TCS.NS,0.17172575935649403,756
852,2025-10-01,2025-09-30,Minimum Volatility,HINDUNILVR.NS,0.20000000000000007,756
853,2025-10-01,2025-09-30,Minimum Volatility,SUNPHARMA.NS,0.20000000000000007,756
854,2025-10-01,2025-09-30,Minimum Volatility,POWERGRID.NS,0.05741170240285341,756
855,2025-10-01,2025-09-30,Minimum Volatility,BHARTIARTL.NS,0.11292167349109546,756
856,2025-10-01,2025-09-30,Minimum Volatility,LT.NS,0.04497511794782579,756
857,2025-10-01,2025-09-30,Minimum Volatility,M&M.NS,0.0,756
858,2025-10-01,2025-09-30,Minimum Volatility,BEL.NS,0.0,756
859,2025-10-01,2025-09-30,Minimum Volatility,TRENT.NS,0.01597915216249551,756
860,2025-10-01,2025-09-30,Maximum Sharpe,HDFCBANK.NS,0.07388562558168485,756
861,2025-10-01,2025-09-30,Maximum Sharpe,TCS.NS,0.0,756
862,2025-10-01,2025-09-30,Maximum Sharpe,HINDUNILVR.NS,0.11064461145997823,756
863,2025-10-01,2025-09-30,Maximum Sharpe,SUNPHARMA.NS,0.19999999999999998,756
864,2025-10-01,2025-09-30,Maximum Sharpe,POWERGRID.NS,0.03492267387464023,756
865,2025-10-01,2025-09-30,Maximum Sharpe,BHARTIARTL.NS,0.19999999999999998,756
866,2025-10-01,2025-09-30,Maximum Sharpe,LT.NS,0.05581576206413213,756
867,2025-10-01,2025-09-30,Maximum Sharpe,M&M.NS,0.08978930192047531,756
868,2025-10-01,2025-09-30,Maximum Sharpe,BEL.NS,0.12888673422570915,756
869,2025-10-01,2025-09-30,Maximum Sharpe,TRENT.NS,0.10605529087338003,756
870,2025-10-01,2025-09-30,Risk Parity,HDFCBANK.NS,0.11792120603171022,756
871,2025-10-01,2025-09-30,Risk Parity,TCS.NS,0.12200362016284223,756
872,2025-10-01,2025-09-30,Risk Parity,HINDUNILVR.NS,0.15563521450843548,756
873,2025-10-01,2025-09-30,Risk Parity,SUNPHARMA.NS,0.13166914266671587,756
874,2025-10-01,2025-09-30,Risk Parity,POWERGRID.NS,0.08179236254516306,756
875,2025-10-01,2025-09-30,Risk Parity,BHARTIARTL.NS,0.10332505761512242,756
876,2025-10-01,2025-09-30,Risk Parity,LT.NS,0.08428639263395951,756
877,2025-10-01,2025-09-30,Risk Parity,M&M.NS,0.07184143477389726,756
878,2025-10-01,2025-09-30,Risk Parity,BEL.NS,0.06359666900422291,756
879,2025-10-01,2025-09-30,Risk Parity,TRENT.NS,0.06792890005793106,756
880,2025-11-03,2025-10-31,Current Equal Weight,HDFCBANK.NS,0.1,756
