Strategy,Signal Date,Execution Date,Ticker,Score,Selected,Target Weight,Source Strategy,Construction Method,Regime,Market Regime
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,HDFCBANK.NS,0.13780006649483148,False,0.0,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,HINDUNILVR.NS,0.13780006649483148,False,0.0,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,M&M.NS,0.13780006649483148,False,0.0,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,SUNPHARMA.NS,0.13780006649483148,False,0.0,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,TRENT.NS,0.13780006649483148,False,0.0,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,POWERGRID.NS,0.0007318935284043506,True,0.3333333333333333,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,SUNPHARMA.NS,0.0002326765600121853,True,0.3333333333333333,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,TCS.NS,0.0020689846548509715,True,0.3333333333333333,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,BEL.NS,-0.000535911410367961,False,0.0,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,BHARTIARTL.NS,-0.00617271250892095,False,0.0,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,HDFCBANK.NS,-0.014228492381175684,False,0.0,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,HINDUNILVR.NS,-0.006541066141925814,False,0.0,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,LT.NS,-0.004258490746638226,False,0.0,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,M&M.NS,-0.007173460285402953,False,0.0,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
Ridge Regression,2026-07-01,2026-07-02,TRENT.NS,-0.03234685735035052,False,0.0,Ridge Regression,Top-3 Equal Weight,,Bear / Higher Volatility
